owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
chalk,supports-color,666.0,89.0,30400491,-1.0,-1.0,-1.0,0.1,0.1,2.0,83.3,-1.0,9.0,50.0,0,8.0,15.0,3126.4,4,0.0,13.0,3.9,9.0,3894.0,19.0,3.0,-1.0,2.0,-1.0,0.97,1.0,0.0,9.0
npm,node-semver,9780.0,456.0,0,175.6,-8.0,-1.0,21.2,17.5,60.0,7.7,4.7,33.0,87.0,10,17.0,343.0,2614.2,28,0.0,1251.0,3.0,130.0,4797.0,12.0,24.0,6.0,63.0,21.0,0.89,0.97,1.5,33.0
chalk,chalk,42428.0,833.0,29968982,220.2,2.0,-1.0,0.2,0.9,4.0,0.1,0.0,10.0,75.0,8,19.0,15.0,3126.4,74,0.0,20.0,3.9,42.0,3893.99,27.0,15.0,3.0,4.0,3.0,0.99,0.99,1.5,10.0
debug-js,debug,21890.0,892.0,32873420,219.3,0.0,-1.0,0.0,13.8,2.0,0.2,0.3,15.0,50.0,0,20.0,1.0,4506.9,201,0.0,-1.0,4.8,48.0,4506.9,38.0,13.0,-1.0,5.0,-1.0,0.91,0.93,1.4,15.0
microsoft,tslib,2406.0,130.0,22864944,200.7,1.0,0.0,7.2,1.8,19.0,16.2,24.4,11.0,62.0,0,22.0,1100.0,1517.9,1080,0.0,223.0,2.9,24.0,3266.14,41.0,6.0,6.0,21.0,19.0,0.66,0.9,1.4,11.0
vercel,ms,9794.0,290.0,32625059,200.7,0.0,-1.0,1.6,4.3,-1.0,-1.0,-1.0,10.0,62.0,0,9.0,146.0,1508.2,10587,5.0,20.0,3.5,28.0,4406.91,20.0,5.0,-1.0,7.0,-1.0,0.75,0.9,1.3,10.0
mozilla,source-map,6916.0,374.0,25261446,198.5,0.0,-1.0,-1.0,0.0,1.0,54.5,0.0,7.0,62.0,12,11.0,1100.0,2940.2,1518,2.0,22.0,3.7,91.0,4651.08,-1.0,3.0,-1.0,2.0,-1.0,0.82,0.92,1.3,7.0
isaacs,node-lru-cache,10090.0,371.0,158,194.1,1.0,-1.0,0.7,0.5,3.0,8.8,9.1,2.0,57.0,0,59.0,462.0,3566.9,2209,1.0,346.0,1.8,24.0,5063.12,-1.0,12.0,2.0,3.0,15.0,0.97,1.0,1.3,2.0
chalk,strip-ansi,760.0,39.0,29091087,194.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,50.0,0,6.0,15.0,3126.4,71,0.0,9.0,2.2,9.0,3767.02,7.0,-1.0,-1.0,-1.0,-1.0,0.96,1.0,1.3,7.0
nodejs,readable-stream,2020.0,240.0,26024515,189.9,-3.0,-1.0,0.5,6.3,3.0,1.1,0.0,13.0,75.0,8,8.0,207.0,2559.0,701,0.0,204.0,2.8,348.0,4266.88,58.0,6.0,2.0,3.0,8.0,0.96,1.0,1.3,13.0
